,TFs,train_peak_N,valid_peak_N,AUPR,AUROC
0,CTCF,43783,5535,0.8579656225105601,0.9143354901344355
1,MNT,17713,2147,0.6878060318506221,0.7617066432450441
2,UBTF,17697,2219,0.6711701282108281,0.9090617926578378
3,CREB1,18747,2307,0.6699627952000389,0.8361650890854333
4,ZFY,20878,2663,0.63498953523013,0.8814484612861474
5,ARID5B,33622,4162,0.5318437617684458,0.8113680774204561
6,EGR1,16848,2080,0.5221877603388697,0.8632209779393702
7,ZNF574,16231,2023,0.5184509490755436,0.863450414998542
8,HNF4A,33620,4170,0.4574635952417099,0.7888410087877774
9,ZNF776,6273,771,0.4356735109464006,0.9180856583557102
10,ZBTB14,4160,521,0.42382183318641925,0.9259767945320121
11,SP2,5921,716,0.40167329260011586,0.9103744815808733
12,ELF1,12654,1581,0.39149554164917727,0.8413161434980316
13,FOXP4,19127,2370,0.37993439548430175,0.8188002131743342
14,ZNF709,6974,861,0.37654099474152114,0.8905794129277562
15,ZNF547,6586,833,0.3738337428758012,0.8824854224508158
16,ZNF331,18916,2323,0.37297790007996784,0.7871003034884713
17,TCF7L2,17371,2129,0.36825445476134194,0.82215236137201
18,HIVEP1,7908,1010,0.35284459060014767,0.8799746295583477
19,ZNF274,7624,899,0.3517186824703566,0.8812031460766971
20,ZNF800,7023,860,0.34096827932270973,0.8828295193722133
21,LCORL,13158,1621,0.340240246000089,0.8297928338800611
22,RXRA,19195,2348,0.34000699698341813,0.7918744550836628
23,USF1,18649,2324,0.33688630934708486,0.6970181141894367
24,DDIT3,689,102,0.05440469349612319,0.7612350289910201
